udise_code,school_name
27201007301,Z.P.School Narayanthembhi
27201007202,Z.P.School Nikamwasti (Nandgaon)
27201007701,Z.P.School Nimgaon Vakda
27201007601,Z.P.School Niphad No-1
27201007602,Z.P.School Niphad No-2
27201007104,Z.P.School Niphadewasti (Nandurdi)
27201001605,Z.P.School Onevat
27201007801,Z.P.School Oune
27201008301,Z.P.School Pachore Khurd
27201008001,Z.P.School Pachore Wani
27201007909,Z.P.School Pagarwasti
27201008101,Z.P.School Palkhed
27201008401,Z.P.School Panchakeshwar
27201012504,Z.P.School Panewadi
27201008901,Z.P.School Pimpalgaon Najik
27201009001,Z.P.School Pimpalgaon Nipani
27201008701,Z.P.School Pimpalgaon No-1
27201008702,Z.P.School Pimpalgaon No-2
27201008704,Z.P.School Pimpalgaon No-4
27201008705,Z.P.School Pimpalgaon Urdu
27201008501,Z.P.School Pimpari
27201011003,Z.P.School Railway Station Shivdi
27201006502,Z.P.School Railway Station Sukene
27201004103,Z.P.School Rajole Vasti
27201009301,Z.P.School Ramnagar
27201008802,Z.P.School Ranmala
27201001702,"Z.P.School Ranmala, Chetegaon"
27201009201,Z.P.School Ranwad
27201009701,Z.P.School Rasalpur
27201009601,Z.P.School Raulas
27201004802,Z.P.School Rayate Vasti
27201009401,Z.P.School Redgaon
27201010201,Z.P.School Saikheda
27201008707,Z.P.School Sainagar
27201009901,Z.P.School Sakore Mig
27201010001,Z.P.School Sarole Khurd
27201009801,Z.P.School Sarole Thadi
27201010101,Z.P.School Sawali
27201013801,Z.P.School Sawargaon
27201002204,Z.P.School Shaikhwasti (D Veer)
27201008902,Z.P.School Shasri Nagar
27201008803,Z.P.School Shasrinagar
27201007907,Z.P.School Shejwalwadi
27201011201,Z.P.School Shimpi Taklee
27201008102,Z.P.School Shindewasti
27201010501,Z.P.School Shirasgaon
27201010301,Z.P.School Shirwade (Va)
27201010601,Z.P.School Shirwade Wani
27201010701,Z.P.School Shivapur
27201010801,Z.P.School Shivare
27201011001,Z.P.School Shivdi
27201007906,Z.P.School Sonewadi
27201011301,Z.P.School Sonewadi Budruk
27201011401,Z.P.School Sonewadi Khurd
27201011501,Z.P.School Songaon
27201011601,Z.P.School Subhashnagar
27201011701,Z.P.School Sundarpur
27201012003,Z.P.School Takali Vinchur
27201001610,Z.P.School Talegaon Vat
27201012101,Z.P.School Talwade
27201011801,Z.P.School Tamaswadi
27201011901,Z.P.School Tarukhedale
27201012201,Z.P.School Thergaon
27201012301,Z.P.School Thetale
27201011503,Z.P.School Tumbadewasti Songaon
27201012401,Z.P.School Umbarkhed
27201013001,Z.P.School Vadali Najik
27201013201,Z.P.School Vahegaon
27201013101,Z.P.School Vakad
27201013401,Z.P.School Vanasgaon
27201007106,Z.P.School Varadvinayak Vasti (Nandurdi)
27201013301,Z.P.School Varhedarna
27201012601,Z.P.School Vavi Thushi
27201013501,Z.P.School Velapur
27201012801,Z.P.School Vinchur
27201012701,Z.P.School Vishnu Nagar
27201012901,Z.P.School Vitthal Wadi
27201006603,Z.P.School Walkewasti (Mhalsakore)
27201012805,Z.P.Urdu School Vinchur
27201007910,"Z.P.Urdu School, Ozar"
27201008606,Zp Primary School Pimpalas
27201002903,Zp. School Nagare Vasti Dongargaon
27200202203,Abhinav Bal Vikas Mandir Devargaon
27200202507,Abhinav Bal Vikas Mandir Dhodambe
27200202705,Abhinav Bal Vikas Mandir Dhondgavan
27200207206,Abhinav Bal Vikas Mandir Paregaon
27200210615,Abhinav Bal Vikas Mandir Vadner Bhairav
27200201310,Abhinav Pri Vidya Chandwad
27200210309,Abinav Balvikas Mandir Vadalibhoi
27200206102,Adarsh Nutan Madyamik Vidyalaya Mangrul
27200208803,B.L.Jadhav Mad.Vidd Shelu
27200201101,Bharatratna Atalbihari Vajpayee International School Bhoyegaon
27200209802,Cha. Shivaji Vidy. Tisgaon
27200203804,Dhruv International School Dasarwadi (Hirapur)
27200202506,Gorakshnath English Midium Sch Dhodambe
27200202505,Gorakshnath Prathmik Vidyamandir Dhodambe
27200207204,Govtpost Basic Ashram Paregaon
27200201317,Hajrat Jumman Sahabukhari Urdu
27200208504,Higher Secondry Collage Sogras
27200201316,J.R.G Vidyalaya Chandwad
27200201803,Janata Vidyalaya Dahegaon
27200210607,Janta Vidaya Vadner Bhairav
27200207703,Janta Vidyalay Pimpalnare
27200207704,Janta Vidyalay Pimpalnare (Upper Primary)
27200205302,"Janta Vidyalay, Kundalgaon"
27200202202,Janta Vidyalaya Devargaon
27200200302,Janta Vidyalaya Asarkhede
27200205002,Janta Vidyalaya Kajisanghavi
27200204602,Janta Vidyalaya Kalkhode
27200206202,Janta Vidyalaya Nhanave
27200206802,Janta Vidyalaya Nimon
27200207205,Janta Vidyalaya Paregaon
27200207503,Janta Vidyalaya Pimpalad
27200207803,Janta Vidyalaya Puri
27200208902,Janta Vidyalaya Shinde
27200208702,Janta Vidyalaya Sutarkhede
27200210002,Janta Vidyalaya Uswad
27200210303,Janta Vidyalaya Vadali Bhoi
27200202504,K.K.Vagh Sec Vidyalay Dhodambe
27200209003,Kanchan Sudha International School Singave
27200203102,Karm Adv Baburao Ganpatrao Thakare Janata Vidyalaya Ganur
27200201802,Kha. Ashram High Pri Dahegaon
27200208003,Kha. Ashram Sch Rajdarwadi
27200205702,Kha. Ashram School Kheldari Pra
27200205703,Kha. Ashram School Kheldari Sec
27200201312,Kha. Pri Sch Jadhav Vasti Chan
27200201311,Khasgi Pri Sch Gurukulnagar Ch
27200206004,Knowledge English Medium School Mesankhede Kh
27200201002,Lok Mad Vidya Bhayale
27200205503,Loknete Va. Hire Ashram
27200203803,Mad Vid. Dasarwadi (Hirapur)
27200205603,Mad. Vidyalaya Khadak Ozar
27200205504,Madhyamik Ashram School Khadakjam
27200207102,Madhyamik Vidyalaya Parsul
27200207903,Madyamik Vid Rahud
27200209002,Madyamik Vidyalaya Shingave
27200210503,Madyamik Vidyalaya Vadgaon Pangu
27200210702,Madyamik Vidyalaya Vaghdardi
27200210902,Madyamik Vidyalaya Vaki Bud
